"ID","Date","Year","Time","Age","Sex","Dispositon","TotL..ft.","TotL..cm.","SVL...cm.","lbs","kg","Easting","Northing","General.Location","Method","Association","Additional.ID","County","Designation","Observer","Scout","Egg.Count","Follicle.Status","Comments","Phenotype","Size.Est.","X..Hidden","Snake.Temp","Ground.Temp","Microhabitat","Burrow.Feature","Behavior","Condition","NEW.ID.","Method_Grouped","x","y"
"OBS-BP01-1999",1999-12-01,"1999","N/A","adult","Male","alive",NA,NA,NA,NA,NA,"434965","2881873","Wiggins","Heavy Equipment","","","Collier","Six L's Agricultural","Victor","",NA,"","exact date of observation is questionable; credible source ; 1st known observation of wild python W of SR29","","N/A","","","","","","","","","Heavy Equipment",-81.6501365139892,26.0544236062921
"BP01-29OCT03",2003-10-29,"2003","16:00","N/A","Male","alive",NA,NA,NA,NA,NA,"439072","2876419","Tamiami Trail","Opportunistic","","","Collier","CSSP","CSSP-CK","",NA,"","snake seen on south side of road during burn; caught by locals","","N/A","","","","","","","","20031029.01","Miscellaneous",-81.6088276661783,26.0053567337653
"OBS-EDD-E29-BP01-06DEC03",2003-12-06,"2003","15:00","adult","Male","dead","12-14'",NA,NA,NA,NA,"468875","2865297","26.008305","","","PTA-1723","Collier","BCNP","FWCC Exotic Species Database","",NA,"","Photos taken but not clear---appears to be burmese python; Paul data coordinates: 468725, 2865513","","Y","","","","","","","","","",-81.310760269476,25.9058746811514
"OBS-EDD-BP01-25JAN05",2005-01-25,"2005","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"440595","2874669","Tamiami Trail","","","IN-0000150108","Collier","CSSP","","",NA,"","","","N/A","","","","","","","","","",-81.5935302300137,25.9896185950301
"BP01-28JAN05",2005-01-28,"2005","14:00","adult","Male","alive","12",360,317,NA,NA,"438944","2876439","Tomato Rd","Heavy Equipment","","","Collier","CSSP","Maulik Patel","",NA,"","Taken by Travis G. live. It was caught in the tractor bucket as a volunteer was mowing the fire break","","Y","","","","","","","","20050128.01","Heavy Equipment",-81.6101075911797,26.0055319299838
"OBS-EDD-E29-BP01-13FEB05",2005-02-13,"2005","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"467810","2864686","Near HQ","","","IN-0000151230","Collier","BCNP","FWCC Exotic Species Database","",NA,"","","","N/A","","","","","","","","","",-81.3213784333309,25.9003342712756
"BP01-01OCT05",2005-10-01,"2005","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"442848","2874379","Tamiami Trail","","","","Collier","CSSP","Ben Nottingham","",NA,"","","","N/A","","","","","","","","20051005.01","",-81.5710081990003,25.9870906606463
"OBS-EDD-BP01-15OCT05",2005-10-15,"2005","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"442890","2874371","Corey Billie's Airboat Rides","","","IN-0000150107","Collier","BCNP","Data Historical","",NA,"","","","N/A","","","","","","","","","",-81.5705882429463,25.9870200807136
"BP01-07JAN07",2007-01-07,"2007","N/A","adult","Male","dead","15",457,402,NA,NA,"438730","2876442","Tomato Rd","Heavy Equipment","","","Collier","CSSP","CSSP Volunteer","",NA,"","Killed with bushhog when mowing fireline","","Y","","","","","","","","20070107.01","Heavy Equipment",-81.612246048722,26.0055499802819
"BP01-21JAN07",2007-01-21,"2007","N/A","adult","Male","alive","10.2",312,274,NA,NA,"464907","2892173","Everglades Pkwy and SR29","","","","Collier","FSSP","Aron Czarnicki","",NA,"","brought to Fakahatchee and Mike Owen, Skip Snow performed necropsy","","","","","","","","","","20070121.01","",-81.3510987993908,26.1484654250453
"OBS-BP01-22FEB07",2007-02-22,"2007","N/A","adult","Male","alive","8",244,214,NA,NA,"438110","2876431","Tomato Rd","","","","Collier","CSSP","CSSP - MP/KW","",NA,"","likely breeding aggregation, attempted to run over, and missed","","Y","","","","","","","","","",-81.6184406484502,26.0054242951598
"OBS-BP02-22FEB07",2007-02-22,"2007","N/A","adult","Male","alive","15",457,402,NA,NA,"438338","2876425","Tomato Rd","","","","Collier","CSSP","CSSP - MP/KW","",NA,"","likely breeding aggregation, attempted to run over, and missed","","Y","","","","","","","","","",-81.6161621632758,26.0053798446013
"OBS-EDD-BP01-15DEC07",2007-12-15,"2007","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"439255","2875728","Old Marco Rd","","","IN-0000150188","Collier","CSSP","CSSP","",NA,"","EDDMaps coordinates: 439253, 2875735","","N/A","","","","","","","","","",-81.6069670387703,25.9991251407044
"BP01-14JAN08",2008-01-14,"2008","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"439096","2875790","Old Marco Rd","","","PTA-1712","Collier","CSSP","CSSP, Maulik Patel","",NA,"","Paul data coordinates: 439254, 2875735","","N/A","","","","","","","","20080114.01","",-81.6085585876278,25.999678284521
"EDD-E29-BP01-16JAN08",2008-01-16,"2008","N/A","adult","Male","alive",NA,NA,NA,NA,NA,"503636","2905986","canal North of 75","","","PTA-1694; IN-0000150164","Hendry","Expansion","Sarah Gubs, Seminole Tribe","",NA,"","Received head of a PyMo shot by a hunter.  Rt jaw= 100.2mm.  Diagnostic ""spear"" on head & eye stripe visible.","","N/A","","","","","","","","","",-80.9635834447639,26.2736144931271
"OBS-EDD-BP01-02JUN08",2008-06-02,"2008","N/A","adult","Female","dead","11.5",350,308,NA,NA,"465731","2913825","SR29 (Ave Maria), Panther Refuge","","","PTA-966","Collier","Development","Fed Privet, Larry Richardson","",NA,"","","","Y","","","","","","","","","",-81.3434291621236,26.3439896277352
"E29-BP01-22JUL08",2008-07-22,"2008","8:25","juvenile","Female","dead","6.9",210,184,9.1,4.1,"512666","2854191","Tamiami Trail","","","PTA-911; IN-0000151549","Collier","BCNP","Tony Pernas","",NA,"","Minimal scavenging. Significant internal organ decomposition","","","","","","","","","","","",-80.8736453176736,25.8058651555804
"OBS-BP01-06AUG08",2008-08-06,"2008","15:34","adult","Male","alive","11",335,295,NA,NA,"437776","2875796","Western boundary","","","","Collier","CSSP","CSSP Visitor","",NA,"","","","Y","","","","","","","","","",-81.621747826037,25.9996763629387
"SNOW-BP01-16AUG08",2008-08-16,"2008","N/A","adult","Male","N/A","",176,153,5.5,2.5,"N/A","N/A","SWFL","","","1497","Collier","","SS","",NA,"","Girth 18 cm","","","","","","","","","","","",NA,NA
"E29-BP01-28SEP08",2008-09-28,"2008","21:30","adult","Male","alive","8.7",266,233,18.5,8.4,"508575","2849241","Loop Road","","","PTA-1697","Monroe","597","Chris Ruff","",NA,"","Python caught by visitor who was shining culverts. Ranger Chris Ruff saw individual and confiscated the snake. Was test animal.","","","","","","","","","","","",-80.9144887148438,25.7611957980701
"EDD-E29-BP01-05NOV08",2008-11-05,"2008","N/A","adult","Male","dead","8",243,211,17,7.7,"487784","2860826","Tamiami Trail","","","PTA-1837; IN-0000151830","Collier","BCNP","FWCC Exotic Species Database, D. Hagrove and A. Johnson","",NA,"","BCNP, found dead on south side of HWY 41 - 1/2 mile west of monument campground","","","","","","","","","","","",-81.1219269213303,25.8657833352243
"EDD-E29-BP01-06NOV08",2008-11-06,"2008","N/A","juvenile","Male","dead","6",183,160,NA,NA,"488587","2860740","Tamiami Trail- Monument Lake Campground","","","PTA-996; IN-0000151626","Collier","BCNP","FWCC Exotic Species Database","",NA,"","","","Y","","","","","","","","","",-81.1139115109707,25.8650132648512
"E29-BP01-17NOV08",2008-11-17,"2008","11:45","adult","Male","dead","9.9",303,263,30.9,14,"505172","2847502","Loop Road","","","PTA-1498","Monroe","BCNP","Lt. Seifert","",NA,"","No ext parasites obs. Head severed but saved.","","","","","","","","","","","",-80.9484307478094,25.7455083202753
"BP01-27DEC08",2008-12-27,"2008","N/A","adult","Female","dead","7.8",237,206,15.7,7.1,"429847","2878321","Collier Blvd across from empty Fiddler's lot","","","PTA-261; IN-0000150402","Collier","Fiddler's Creek","Wendel","",NA,"","Reports of other pythons found in the past at Fiddler's Creek, across from Shell Island Rd. Examined 16-Jan-2009: Immature, non-reproductive. No AVID tag. Paul Data coordinates: 429837, 2878208","","","","","","","","","","20081227.01","",-81.7011060354913,26.0221127382402
"EDD-BP01-14JAN09",2009-01-14,"2009","16:00","adult","Male","dead","10.1",307,266,32.3,14.6,"445679","2892489","Alligator Alley and Everglades Blvd S","","","PTA-1671; IN-0000151724","Collier","PSSF","FWCC Exotic Species Database, Amanda Peck, DOF","",NA,"","EDDMaps date: 17JAN09","","","","","","","","","","","",-81.5434788121469,26.1507213652186
"OBS-BP01-27JAN09",2009-01-27,"2009","19:20","adult","Male","alive","12",360,317,NA,NA,"440302","2875071","San Marco Rd","","","","Collier","CSSP","CSSP - MP/CK","",NA,"","Had recently consumed something, but got away","","Y","","","","","","","","","",-81.5964758642328,25.9932363662492
"OBS-BP01-26FEB09",2009-02-26,"2009","N/A","juvenile","Male","alive","5",152,133,NA,NA,"436973","2875599","Curcie Rd","","","","Collier","CSSP","CSSP - MC","",NA,"","6-8 in. in diameter on right hand side of rd. ","","Y","","","","","","","","","",-81.62976160628,25.997862873574
"OBS-EDD-E29-BP01-18MAR09",2009-03-18,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"462724","2941860","Keri Rd","","","IN-0000150431","Hendry","Expansion","Data Historical","",NA,"","","","N/A","","","","","","","","","",-81.3743818142418,26.5970443973558
"OBS-BP01-02JUN09",2009-06-02,"2009","19:25","N/A","Male","alive",NA,NA,NA,NA,NA,"440760","2875152","Tamiami Trail","","","","Collier","CSSP","CSSP - Visitor.JEI","",NA,"","","","N/A","","","","","","","","","",-81.5919035917269,25.9939865429433
"OBS-BP01-18JUN09",2009-06-18,"2009","N/A","N/A","Male","alive",NA,NA,NA,NA,NA,"439877","2874988","San Marco Rd","","","","Collier","CSSP","CSSP - Visitor/CK","",NA,"","Goodland resident saw on the way home","","N/A","","","","","","","","","",-81.6007182791505,25.9924693567751
"BP01-09JUL09",2009-07-09,"2009","N/A","hatchling","Male","alive","2.5",75,64,NA,NA,"442511","2874409","Tamiami Trail","Road Cruising","","","Collier","CSSP","PTA","",NA,"","","","Y","","","","","","","","","Road Cruising",-81.5743763631704,25.9873482159248
"BP01-26JUL09",2009-07-26,"2009","N/A","hatchling","Male","dead","2.5",75,64,NA,NA,"442511","2874409","Tamiami Trail","Road Cruising","","PTA-1662; IN-0000150202","Collier","CSSP","PTA","",NA,"","A D.O.R. Burmese python male hatchling found at 4:20 am, on U.S. 41, by Paul Andreadis, Denison University. Carcass recovered and retained by Paul for submission to the Florida Museum of Natural History; Coordinates from EDDmaps: 442510, 2874396; Tamiami Trail ~ 1.5 miles East of entrance to Collier Seminole SP  25 59.234', 81 34.463'","","Y","","","","","","","","","Road Cruising",-81.5743763631704,25.9873482159248
"OBS-EDD-BP01-23AUG09",2009-08-23,"2009","618-8896938","N/A","Male","alive",NA,NA,NA,NA,NA,"417805","2940809","Six Mile Cypress Pkwy","","","IN-0000150366","Lee","Expansion","Data Historical","",NA,"","","","N/A","","","","","","","","","",-81.8254307650081,26.5856545323971
