"","Long","Lat","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"1",-81.6706005259194,26.0013680412432,"BP01-07APR13","COSWFL",2013,"1200","Adult","Female","Alive",12,366,322,72.1,32.7,432888,2876007,"Road to Nowhere","Scout","PYBI - 05","Collier","RBNERR","IB/AF/NM","General",36,"",NA,NA,NA,NA,NA,NA,"","","female research animal-Paula","Courting/Mating","{6D509882-EFC7-4F8D-B739-AA7D1E4082BF}","YES","South","East","","","","","direct",2013-04-07,"2013-04-07 1200"
"2",-81.6502410941515,26.011194810334,"BP01-04FEB14","COSWFL",2014,"1500","Adult","Female","Alive",10,305,266,28.4,12.9,434931,2877085,"Fiddler's Agricultural, S line","Scout","PYBI - 11","Collier","Fiddler's Creek","PTA","Elvis",21,"",NA,NA,NA,NA,NA,NA,"","","female research animal-Snowflake","Courting/Mating","{78701A84-C518-4766-AE05-43F029E59901}","YES","South","East","","","","","direct",2014-02-04,"2014-02-04 1500"
"3",-81.6518638454658,26.0100949350328,"BP01-14FEB14","COSWFL",2014,"1200","Adult","Female","Alive",14.6,445,417,100,45.4,434768,2876964,"Fiddler's Agricultural, S of S line","Scout","PYBI - 09","Collier","Fiddler's Creek","PTA/IB","Elvis",63,"",NA,NA,NA,NA,NA,NA,"","","female research animal-Valentina","Courting/Mating","{A0992356-5E80-40FB-B863-D0DC5FA2AD85}","YES","South","East","General","","","","direct",2014-02-14,"2014-02-14 1200"
"4",-81.694823012371,26.0220936337043,"BP01-26MAR14","COSWFL",2014,"1200","Adult","Female","Alive",9.4,286,251,27.7,12.6,430476,2878315,"Ochos Rios Dr ","Scout","","Collier","Development","IB","Sugar Pie",28,"",NA,NA,NA,NA,NA,NA,"","","","Courting/Mating","{5093A582-A6D0-4D9A-9CAB-BF8561B7C742}","YES","South","East","","","","","direct",2014-03-26,"2014-03-26 1200"
"5",-81.6459408958509,25.9978052760012,"BP01-03DEC14","COSWFL",2014,"1200","Adult","Male","Alive",10.4,317,274,36.2,16.4,435354,2875600,"Curcie Rd","Scout","PYBI - 15","Collier","RBNERR","IB","Stella",NA,"",NA,NA,NA,NA,NA,NA,"","","male research animal - Brando","Courting/Mating","{36C6C3C3-7339-4C01-85FB-A1511E41EA14}","","South","East","","","","","direct",2014-12-03,"2014-12-03 1200"
"6",-81.6568364596401,26.007625440212,"BP01-22DEC14","COSWFL",2014,"1200","Adult","Male","Alive",8.2,250,219,17.5,7.9,434269,2876693,"Marco Island Water Treatment Plant","Scout","","Collier","RIBS","IB/CE","Sweet Pea",NA,"",NA,NA,NA,NA,NA,NA,"","","(euth 12JAN15) found in proximity to female research animal (PYBI - 02) / Ammit Cailins snake","Courting/Mating","{4E3B57D1-4B1A-49AC-B233-58AB29E72A53}","","South","East","","","","","direct",2014-12-22,"2014-12-22 1200"
"7",-81.6564505279495,26.0083044042679,"BP01-16JAN15","COSWFL",2015,"1200","Adult","Male","Alive",9.6,293,253,27.9,12.7,434308,2876768,"Marco Island Water Treatment Plant","Scout","","Collier","RIBS","PTA/IB","Sweet Pea",NA,"",NA,NA,NA,NA,NA,NA,"","","(euth 27JAN15) found in proximity to female research animal (PYBI - 02)","Courting/Mating","{7FD9323E-E139-4EF9-8E2F-F0FFBCEA7361}","","South","East","","","","","direct",2015-01-16,"2015-01-16 1200"
"8",-81.6562528905375,26.0087025987671,"BP01-26JAN15","COSWFL",2015,"1200","Adult","Male","Alive",8.7,265,229,20.2,9.2,434328,2876812,"Marco Island Water Treatment Plant","Scout","","Collier","RIBS","IB/CE","Sweet Pea",NA,"",NA,NA,NA,NA,NA,NA,"","","(euth 27JAN15) found in proximity to female research animal (PYBI - 02)","Courting/Mating","{E50D4C97-F8C7-4108-BD8B-D9D7AE55D178}","","South","East","","","","","direct",2015-01-26,"2015-01-26 1200"
"9",-81.7097975653018,26.0211089019344,"BP01-06FEB15","COSWFL",2015,"1200","Adult","Female","Alive",12.4,377,330,66.4,30.1,428977,2878214,"Shell Island Rd","Scout","PYBI - 20","Collier","RBNERR","IB/CE/GC","Elvis",38,"",NA,NA,NA,NA,NA,NA,"GOTO","","female research animal - Orra; EUTH 30JUN17, transmitter antenna snapped to 2-3"" long","Underground","{E5132A2B-BF5F-489E-889D-5344543E88BC}","YES","South","West","","","","","direct",2015-02-06,"2015-02-06 1200"
"10",-81.6214150144785,25.9947072440742,"BP01-07FEB15","COSWFL",2015,"1350","Adult","Female","Alive",10.2,311,275,43.2,19.6,437807,2875245,"Curcie Rd","Scout","","Collier","Curcie","IB/AF","Marshall",38,"",NA,NA,NA,NA,NA,NA,"","","(euth 20FEB15) found in proximity to recovered male research animal (PYBI - 06)","Courting/Mating","{2ACF8996-9838-4B20-8380-A63CDF16FD52}","YES","South","East","","","","","direct",2015-02-07,"2015-02-07 1350"
