"","X","x","y","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"1",11,-81.617433885107,26.0053069111887,"BP01-10FEB15","COSWFL",2015,1235,"Adult","Female","Alive",13,396,348,68,30.8,438211,2876417,"41 South","Scout","","Collier","Six L's Agricultural","IB","Agamemnon",44,"Y",NA,NA,NA,NA,NA,NA,"","","Agamemnon's Girl (died 19MAR15)","Courting/Mating","{92AD7330-4059-4396-8131-9E8810D42C03}","YES","South","East","","","","","direct","2015-02-10","2015-02-10 1235"
"2",13,-81.611879532885,26.0055743179984,"BP01-16FEB15","COSWFL",2015,1205,"Adult","Female","A",11.5,351,310,52,23.6,438767,2876444,"41 South","Scout","","Collier","Six L's Agricultural","IB/CE","Agamemnon",36,"",NA,NA,NA,NA,NA,NA,"","","Agamemnon's Girl #2 (euth 24MAR15)","Courting/Mating","{B1A43DB0-2290-4D7B-B8C2-9BD9C69AC37B}","YES","South","East","","","","","direct","2015-02-16","2015-02-16 1205"
"3",30,-81.6341003216476,25.9977222290143,"BP02-23FEB16","COSWFL",2016,1200,"Adult","Female","Alive",7.7,235,204,16,7.3,436539,2875585,"Curcie Rd","Scout","","Collier","Curcie","IB, CPE, IE, LJ","Alexander",12,"",NA,NA,NA,NA,NA,NA,"","leaf litter","found while searching for male research animal (PYBI-14); mating with small male","Courting/Mating","{2CCD88F4-68F7-42ED-BDD0-5218BF0586D7}","YES","South","East","","","","","direct","2016-02-23","2016-02-23 1200"
"4",31,-81.6341003216476,25.9977222290143,"BP03-23FEB16","COSWFL",2016,1200,"Adult","Male","Alive",8.6,262,250,24.6,11.2,436539,2875585,"Curcie Rd","Scout","","Collier","Curcie","IB, CPE, IE, LJ","Alexander",NA,"",NA,NA,NA,NA,NA,NA,"","leaf litter","found while searching for male research animal (PYBI-14); mating with small female","Courting/Mating","{EF4FEFAA-A19D-456D-A56B-EAC37B14C033}","","South","East","","","","","direct","2016-02-23","2016-02-23 1200"
"5",32,-81.6340984797421,25.9973791152042,"BP04-23FEB16","COSWFL",2016,1200,"Adult","Female","Alive",15.5,471,417,127,57.6,436539,2875547,"Curcie Rd","Scout","","Collier","Curcie","IB, CPE, IE, LJ","Alexander",57,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to male research animal (PYBI-14); likely mating","Courting/Mating","{8039D6AC-55CC-442C-B155-EC1011F438E9}","YES","South","East","","","","","direct","2016-02-23","2016-02-23 1200"
"6",85,-81.7176698975684,26.0633726367872,"BP01-15JAN18","COSWFL",2018,1429,"Adult","Female","Alive",13.5,410,362,94.7,43,428215,2882899,"Price Rd","Scout","","Collier","Development","IB, IE, MH, MB, AuF","Barron",53,"",NA,23.6000003814697,NA,21.3999996185303,NA,NA,"","palm nursery under metal debris pile","found mating with Barron, had some blood coming out of cloaca that was most likely from Barron","Courting/Mating","{F4808A50-2B67-49AE-802B-43AC98038AF3}","YES","South","West","","","","","direct","2018-01-15","2018-01-15 1429"
"7",118,-81.6807741361526,26.0120836242558,"BP01-11JAN19","COSWFL",2019,1224,"Adult","Male","Alive",10.8,330,287,40.5,18.4,431876,2877199,"No man's land","Scout","","Collier","RBNERR","IB, IE, KK, DG","Bobby Jo",NA,"",NA,NA,NA,NA,NA,NA,"","","","","{B0C36764-5BFB-4A7A-89B1-CF89D7B2BAD4}","","South","East","","","","","direct","2019-01-11","2019-01-11 1224"
"8",138,-81.6529552738917,26.0086904395622,"BP01-05MAR19","COSWFL",2019,1234,"Adult","Female","Alive",13.6,416,365,85.5,38.8,434658,2876809,"No man's land","Scout","","Collier","RBNERR","IB, IE, KK","Bobby Jo",58,"",NA,NA,NA,NA,NA,NA,"","pine upland with saw palmetto and poison ivy, and wax myrtle","mating with Joey","Courting/Mating","{A66776AA-194D-44B6-9480-7C319228C2AD}","YES","South","East","","","","","direct","2019-03-05","2019-03-05 1234"
"9",167,-81.6974690157913,26.0127949854451,"BP01-04FEB20 ","COSWFL",2020,1025,"Adult","Male","A",9.1,276,236,17.5,8,439208,2877286,"Marsh S of Fiddler’s bridge","Scout","","Collier","RBNERR"," IB, IE, AlF ","Bobby Jo",NA,"",NA,NA,NA,NA,NA,NA,"","Cattail Marsh","In large pad of flattened cattail, w/ scout PYBI-67","Basking","{26CE5AA1-AF24-48A8-B25E-26F2607FDEAD}","","South","East","","","","","direct","2020-02-04","2020-02-04 1025"
"10",213,-81.6635570018296,26.0134576113156,"BP03-20JAN21","COSWFL",2021,1342,"Adult","Female","A",9.3,284,250,19.2,8.7,433599,2877345,"Fiddler's Creek","Scout","","Collier","Fiddler's Creek","IB, IE, ME","Bobby Jo",0,"",NA,NA,NA,NA,NA,NA,"","Disturbed edge","","","{0A264634-76AB-4581-9DC1-9CC9A4F8FEE5}","","South","East","","","","","indirect","2021-01-20","2021-01-20 1342"
