"Snake_ID","Snake_Name","Date","Time","Year","Location","UTM_E","UTM_N","Observers","Status","Snake_Sex","Habitat_Category","HabitatCategory2","HabitatComplexity","Percent_H20","Overstory","Understory","Behavior","Other_Behavior","Percent_Hidden","Snake_Temp","Substrate_Temp_Shade","Substrate_Temp_Sun","Water_Temp","Burrow_Type","Condition","Position","Skin","Survey_Time","Associated_Snakes","External_Marks","Comments","Designation","GlobalID","Season","Sector.1","Sector.2","Longitude","Latitude"
"PYBI_01","Elvis","1/20/2013",NA,2013,"R",433519.439736246,2875968.43011131,"PTA, GC","inactive","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBNERR","1a74c680-b9ba-4a53-9d6e-cb1f98cff9ef","Breeding","S","E",-81.66428631,26.00104419
"PYBI_02","Sweet Pea","1/28/2013",1900,2013,"R",433669.509785214,2877136.37040419,NA,"inactive","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"released nearby to avoid lakemasters crew",NA,"e6752eef-9505-44cb-904c-72e80d3662a2",NA,NA,NA,-81.66284606,26.01159669
"PYBI_02","Sweet Pea","2/1/2013",1700,2013,"P",433679.070072815,2877316.49988336,"RR?","inactive","female","disturbed","lake / resevoire",1,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"ANTHRO",NA,NA,NA,NA,0,NA,"with bob reed; animal possibly in culvert pipe",NA,"3b87af36-71d1-4845-8e4a-db13700ddfd6",NA,NA,NA,-81.66275966,26.01322356
"PYBI_03","Noosa","2/4/2013",NA,2013,"R",432931.12955139,2876010.84008028,"JC,DB","inactive","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crawled South",NA,"1b1d7e7b-d3d0-4f31-82fa-7c313224c5e4",NA,NA,NA,-81.67016667,26.0014
"PYBI_03","Noosa","2/13/2013",NA,2013,"P",433021.060289587,2876010.81005145,"IB","inactive","female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"animal heard on R2N near croc nest",NA,"80f48f8d-be06-4d63-81bf-2ba631c57db3",NA,NA,NA,-81.66926811,26.00140389
"PYBI_02","Sweet Pea","2/13/2013",1330,2013,"M",433723.240184647,2877366.39969497,NA,"inactive","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heard across pond to North from last sighting",NA,"03b94ab7-f6d1-48cc-84f1-aa01be17002c",NA,NA,NA,-81.66232081,26.01367614
"PYBI_03","Noosa","2/17/2013",NA,2013,"V",433025.879627099,2876011.45984748,"PTA,GC,MW","inactive","female","disturbed","mangrove swamp",NA,NA,NA,NA,"resting",NA,100,NA,NA,NA,NA,"DILLO","gravid",NA,"normal",NA,0,NA,"Burrow # 1 CONFIRMED",NA,"c18b2c4d-48bf-4f2a-8bff-09f2a45986cd",NA,NA,NA,-81.66921999,26.00140998
"PYBI_03","Noosa","2/18/2013",NA,2013,"P",433025.879627099,2876011.45984748,"PTA,BP","inactive","female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,0,NA,NA,NA,"425c7fba-394e-4299-8186-e77c55bbe4a9",NA,NA,NA,-81.66921999,26.00140998
"PYBI_03","Noosa","2/19/2013",NA,2013,"V",433025.879627099,2876011.45984748,"Camera","inactive","female","disturbed","mangrove swamp",NA,NA,NA,NA,"resting",NA,100,NA,NA,NA,NA,"DILLO","gravid",NA,"normal",NA,0,NA,"recorded by trailcam at burrow entrance from 1335:09 h - 1351:36",NA,"3f57eb2a-be0e-4fe7-9b27-0684bfd04720",NA,NA,NA,-81.66921999,26.00140998
"PYBI_02","Sweet Pea","2/19/2013",1510,2013,"M",433715.019601062,2877357.39963928,"PTA, IB","inactive","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"localized to patch of rushes from North",NA,"3033e513-aa52-4876-abe4-bc48627ee043",NA,NA,NA,-81.6624025,26.0135945
